x,ca,cb,cc
4.26,0.047513516,0.943021231,0.009465253
4.27,0.047510096,0.943028301,0.009461604
4.28,0.047506733,0.943035297,0.00945797
4.29,0.047503425,0.943042221,0.009454353
4.3,0.047500173,0.943049075,0.009450752
4.31,0.047496975,0.943055858,0.009447167
4.32,0.047493829,0.943062572,0.009443599
4.33,0.047490735,0.943069219,0.009440046
4.34,0.047487691,0.943075799,0.00943651
4.35,0.047484697,0.943082314,0.009432989
4.36,0.047481752,0.943088764,0.009429484
4.37,0.047478855,0.94309515,0.009425995
4.38,0.047476004,0.943101474,0.009422522
4.39,0.047473199,0.943107736,0.009419064
4.4,0.04747044,0.943113938,0.009415623
4.41,0.047467724,0.943120079,0.009412196
4.42,0.047465052,0.943126162,0.009408786
4.43,0.047462422,0.943132187,0.009405391
4.44,0.047459834,0.943138155,0.009402011
4.45,0.047457287,0.943144067,0.009398646
4.46,0.047454779,0.943149923,0.009395297
4.47,0.047452311,0.943155725,0.009391964
4.48,0.047449882,0.943161473,0.009388645
4.49,0.04744749,0.943167169,0.009385341
4.5,0.047445135,0.943172812,0.009382053
4.51,0.047442816,0.943178404,0.00937878
4.52,0.047440533,0.943183945,0.009375521
4.53,0.047438285,0.943189437,0.009372278
4.54,0.047436072,0.943194879,0.009369049
4.55,0.047433891,0.943200273,0.009365836
4.56,0.047431744,0.94320562,0.009362637
4.57,0.047429629,0.943210919,0.009359452
4.58,0.047427546,0.943216172,0.009356282
4.59,0.047425493,0.943221379,0.009353127
4.6,0.047423472,0.943226542,0.009349987
4.61,0.04742148,0.94323166,0.00934686
4.62,0.047419518,0.943236734,0.009343749
4.63,0.047417584,0.943241765,0.009340651
4.64,0.047415679,0.943246753,0.009337568
4.65,0.047413801,0.9432517,0.009334499
4.66,0.047411951,0.943256605,0.009331444
4.67,0.047410127,0.943261469,0.009328404
4.68,0.04740833,0.943266293,0.009325377
4.69,0.047406558,0.943271077,0.009322365
4.7,0.047404811,0.943275823,0.009319366
4.71,0.047403089,0.943280529,0.009316381
4.72,0.047401392,0.943285198,0.00931341
4.73,0.047399718,0.943289829,0.009310453
4.74,0.047398068,0.943294423,0.00930751
4.75,0.04739644,0.94329898,0.00930458
4.76,0.047394835,0.943303501,0.009301664
4.77,0.047393253,0.943307986,0.009298761
4.78,0.047391692,0.943312437,0.009295872
4.79,0.047390152,0.943316852,0.009292996
4.8,0.047388633,0.943321233,0.009290134
4.81,0.047387135,0.94332558,0.009287285
4.82,0.047385657,0.943329894,0.009284449
4.83,0.047384199,0.943334175,0.009281626
4.84,0.04738276,0.943338423,0.009278817
4.85,0.04738134,0.94334264,0.00927602
4.86,0.047379939,0.943346824,0.009273237
4.87,0.047378556,0.943350977,0.009270467
4.88,0.047377192,0.943355099,0.00926771
4.89,0.047375845,0.94335919,0.009264965
4.9,0.047374515,0.943363251,0.009262233
4.91,0.047373203,0.943367283,0.009259514
4.92,0.047371907,0.943371284,0.009256808
4.93,0.047370628,0.943375257,0.009254115
4.94,0.047369366,0.943379201,0.009251434
4.95,0.047368119,0.943383116,0.009248765
4.96,0.047366887,0.943387003,0.009246109
4.97,0.047365671,0.943390863,0.009243466
4.98,0.047364471,0.943394695,0.009240835
4.99,0.047363284,0.943398499,0.009238216
5,0.047362113,0.943402277,0.00923561
5.01,0.047360956,0.943406029,0.009233015
5.02,0.047359812,0.943409754,0.009230433
5.03,0.047358683,0.943413454,0.009227863
5.04,0.047357567,0.943417127,0.009225305
5.05,0.047356465,0.943420776,0.009222759
5.06,0.047355376,0.943424399,0.009220226
5.07,0.047354299,0.943427998,0.009217703
5.08,0.047353235,0.943431572,0.009215193
5.09,0.047352184,0.943435121,0.009212695
5.1,0.047351145,0.943438647,0.009210208
5.11,0.047350117,0.943442149,0.009207733
5.12,0.047349102,0.943445628,0.00920527
5.13,0.047348098,0.943449084,0.009202818
5.14,0.047347106,0.943452516,0.009200378
5.15,0.047346125,0.943455926,0.009197949
5.16,0.047345154,0.943459313,0.009195532
5.17,0.047344195,0.943462679,0.009193126
5.18,0.047343246,0.943466022,0.009190732
5.19,0.047342308,0.943469343,0.009188349
5.2,0.04734138,0.943472643,0.009185977
5.21,0.047340463,0.943475922,0.009183616
5.22,0.047339555,0.943479179,0.009181266
5.23,0.047338657,0.943482415,0.009178927
5.24,0.047337769,0.943485631,0.0091766
5.25,0.04733689,0.943488827,0.009174283
5.26,0.047336021,0.943492002,0.009171978
5.27,0.04733516,0.943495157,0.009169683
5.28,0.047334309,0.943498292,0.009167399
5.29,0.047333467,0.943501408,0.009165126
5.3,0.047332633,0.943504504,0.009162863
5.31,0.047331808,0.943507581,0.009160612
5.32,0.047330991,0.943510638,0.009158371
5.33,0.047330183,0.943513677,0.00915614
5.34,0.047329383,0.943516697,0.00915392
5.35,0.04732859,0.943519699,0.009151711
5.36,0.047327806,0.943522682,0.009149512
5.37,0.04732703,0.943525647,0.009147323
5.38,0.047326261,0.943528594,0.009145145
5.39,0.0473255,0.943531523,0.009142977
5.4,0.047324747,0.943534434,0.009140819
5.41,0.047324001,0.943537328,0.009138672
5.42,0.047323261,0.943540204,0.009136535
5.43,0.04732253,0.943543063,0.009134408
5.44,0.047321805,0.943545905,0.00913229
5.45,0.047321087,0.94354873,0.009130183
5.46,0.047320375,0.943551538,0.009128086
5.47,0.047319671,0.94355433,0.009125999
5.48,0.047318973,0.943557105,0.009123922
5.49,0.047318281,0.943559864,0.009121855
5.5,0.047317596,0.943562607,0.009119797
5.51,0.047316917,0.943565334,0.009117749
5.52,0.047316245,0.943568044,0.009115711
5.53,0.047315578,0.943570739,0.009113682
5.54,0.047314918,0.943573419,0.009111664
5.55,0.047314263,0.943576082,0.009109654
5.56,0.047313615,0.943578731,0.009107655
5.57,0.047312972,0.943581364,0.009105664
5.58,0.047312335,0.943583982,0.009103684
5.59,0.047311703,0.943586585,0.009101712
5.6,0.047311077,0.943589173,0.00909975
5.61,0.047310456,0.943591746,0.009097797
5.62,0.047309841,0.943594305,0.009095854
5.63,0.047309231,0.943596849,0.00909392
